"Value","Clicks Forwarded","Clicks Untracked","Clicks Blocked","Paid Commissions","Confirmed Commissions","Open Commissions","Delayed Commissions","Rejected Commissions","Total Commission"
"Bradford Exchange Clothing/Apparel Gifts & Flowers Jewelry","6","0","0","0","0","0","0","0","0.0"
"Carpatree.com PL","1124","0","3","0","0","39","0","0","95.73"
"DECATHLON DE","1","0","1","0","0","0","0","0","0.0"
"Hilton Honors Rewards â€“ Points.Com CPS","1","0","1","0","0","0","0","0","0.0"
"Marks & Spencer Many GEOs","1","0","0","0","0","0","0","0","0.0"
"Marks & Spencer''s [US] CPS","1","0","1","0","0","0","0","0","0.0"
"Pandora","32","0","7","0","0","0","0","0","0.0"
"Pandora IT","371","0","14","0","0","0","0","0","0.0"
"Pandora Netherlands","8759","0","51","0","0","339","0","0","345.48"
"Three","1160","0","31","0","0","12","0","0","669.4"
"UNKNOWN","0","353","0","0","0","0","0","0","0.0"
"etsy.com","3","0","1","0","0","0","0","0","0.0"
"Pandora Germany","14","0","2","0","0","0","0","0","0.0"
"Mister-lady DE","2","0","0","0","0","0","0","0","0.0"
"Blablacar DE","158","0","4","0","0","11","0","0","4.88"
"PULL and BEAR FR","166","0","2","0","0","2","0","0","1.52"
"Trade Republic ES","2","0","1","0","0","0","0","0","0.0"
"TravelSupermarket","7","0","2","0","0","0","0","0","0.0"
"crutchfield.com","526","0","11","0","0","213","0","0","0.02"
"Biossance US","1","0","0","0","0","0","0","0","0.0"
"PULL and BEAR NL","52","0","4","0","0","2","0","0","2.89"
"1-2-3-TV DE","1","0","1","0","0","0","0","0","0.0"
"Karen Millen US","7","0","0","0","0","0","0","0","0.0"
